policy_id,run_name,policy_type,checkpoint_step,scenario,steps,trials,falls,fall_rate_per_1000_steps,mean_reward,reward_std,tracking_rmse,tracking_failure_rate,mean_horizontal_speed,mean_root_height,min_root_height,mean_torso_up,min_torso_up,mean_tilt_angle_rad,mean_action_norm,mean_action_rate_norm,mean_action_saturation_rate,mean_motor_target_error,mean_actuator_torque_norm,mean_mechanical_power_abs,mean_acceleration_norm,mean_jerk_norm,mean_foot_slip_speed,external_contact_force_rms,mean_first_fall_survival_fraction,score_stability,score_tracking,score_upright,score_smoothness,composite_score
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,biomechanics,127795200,IN_DISTRIBUTION,6000.0,12.0,0.0,0.0,2.7228236303814533,0.8360184963313458,0.16175733908052195,0.11416666666666667,0.21104564125321593,1.4602172056436538,1.3683139085769653,0.9415641372203827,0.7933721542358398,0.29749869496037096,1.9884212673900556,42.01963605756248,0.03656481481481482,0.7809499130059591,87.69631399679756,251.7894169787262,2.1524756867744834,75.76651188071232,0.1644427954834178,0.0,1.0,1.0,1.0,0.244991000312862,0.0,0.7489982000625723
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,berkeley,44236800,IN_DISTRIBUTION,6000.0,12.0,8.0,1.3333333333333333,0.03983464303293537,0.009672781508966314,0.5778051844549885,0.44016666666666665,0.2932830577983749,0.5259118372056012,-0.039415571838617325,0.9888016380257905,-0.10180673003196716,0.07168573672810587,1.5103669347556419,27.826221021786054,0.016180555555555552,0.5562583967280234,18.04626902832393,55.04720481826251,3.2332552373229713,142.95918173497478,0.0,168.03666216619516,0.9501666666666666,0.7729688686408501,0.0,1.0,1.0,0.6091875474563401
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,IN_DISTRIBUTION,3000.0,6.0,1.0,0.3333333333333333,0.2896842223896335,3.1676442188276184,0.2603828160158447,0.31166666666666665,0.263899882454081,1.4689458779493967,0.8864626288414001,0.9414182142814,0.8280636072158813,0.3240993174546961,2.2422239945051525,34.470260998737835,0.02888888888888889,0.7617676715170205,84.69632398347561,212.6142343106983,2.538618629916984,71.98169771543502,0.279114671236695,0.0,0.9306666666666666,0.6841305998481396,0.7629467907794254,0.24265867683439227,0.5318927854780138,0.6042572910877634
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,biomechanics,87040000,IN_DISTRIBUTION,6000.0,12.0,5.0,0.8333333333333334,1.8329793624509572,2.0193775649637242,0.3229001639806881,0.20683333333333334,0.21609097709095287,1.4689027406175932,0.8845258355140686,0.965893942207098,0.6916420459747314,0.22823328660317158,1.9644931508130739,37.977973788679726,0.04028703703703704,0.7547910110256016,83.20775891352852,229.54716966231717,2.0569008186647615,69.65063120523476,0.2315200803613987,0.0,0.9028333333333333,0.5573272589217917,0.6126819867192714,0.6338604665717578,0.2847561533778302,0.5619832082366326
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,IN_DISTRIBUTION,3000.0,6.0,2.0,0.6666666666666666,0.2691516783675179,3.256552235997886,0.3697471238618551,0.2926666666666667,0.2883375791944119,1.460788293937842,0.8731144666671753,0.9331895383199056,0.6529056429862976,0.34508906899141184,2.2284813352402586,32.806502888526964,0.026148148148148146,0.7546201959936487,84.73665907967982,207.18529183865652,2.542479490325504,69.79007919904168,0.29039696074872345,0.0,0.9566666666666667,0.8025816249050873,0.5000820528366621,0.11113765433088395,0.6491132081893305,0.5581961174981434
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,biomechanics,60702720,IN_DISTRIBUTION,6000.0,12.0,6.0,1.0,0.7292008376812931,1.5833686416037909,0.17414990726611684,0.020833333333333332,0.19869883435968436,1.4476197357277076,0.873786449432373,0.9465880339493354,0.45345810055732727,0.27909321045149027,1.8449315125289945,37.39250417856674,0.012574074074074076,0.7292799998447616,81.40292110490634,190.40173402911844,1.1711255959942188,70.27171786142473,0.44892502357335706,0.0,0.846,0.2984054669703872,0.9702135984517817,0.3252892205655277,0.3260055361822668,0.5080846640550216
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,IN_DISTRIBUTION,6000.0,12.0,8.0,1.3333333333333333,0.46043902092140826,1.9001240598207394,0.2078662280612408,0.048666666666666664,0.2140731452040412,1.4466682947476706,0.8696503043174744,0.9448089545667171,0.4789312779903412,0.2721659317528616,1.923412638736542,34.892435814830336,0.014935185185185188,0.720517947436766,80.41748938332917,190.37898066428983,1.23622608397334,67.92054830536634,0.4665380631687893,0.0,0.7805,0.0,0.8891740709792205,0.29685374192816266,0.5021483712529415,0.37633780680469286
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,biomechanics,2949120,IN_DISTRIBUTION,6000.0,12.0,8.0,1.3333333333333333,0.16850410328191842,2.010917826862752,0.2703979448690358,0.051666666666666666,0.2292989508706373,1.4345322629610697,0.8693014979362488,0.9262361575812101,0.3172970116138458,0.3057308616716974,1.8873455022263788,36.59220844997194,0.013212962962962966,0.7428212197965147,84.06405665720223,200.19656499814258,1.2477764462698162,69.35622200864839,0.4996477171379192,0.0,0.8113333333333334,0.14047076689445728,0.7388747304033478,0.0,0.3823905377183695,0.3160897796506242
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,IN_DISTRIBUTION,6000.0,12.0,8.0,1.3333333333333333,0.11862813265254954,1.9751075753571892,0.32486009529228654,0.058,0.2328577812346072,1.4331811063885689,0.8697060942649841,0.9286658023645481,0.4957405626773834,0.30136766922670466,1.9031148289607593,35.59491330134502,0.013675925925925928,0.75791781103014,85.75031903104137,192.39376760321375,1.1985301355389841,65.85512640746859,0.48990436221866523,0.0,0.7971666666666667,0.07593014426727433,0.6079711551805709,0.03883363103860612,0.45265517424968404,0.26579564789377064
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,biomechanics,127795200,diagonal,1000.0,2.0,0.0,0.0,2.8050006902366875,0.8984834288428495,0.19845373003843259,0.188,0.3105494164904088,1.458517364025116,1.3845529556274414,0.9305021960139275,0.8336853981018066,0.35050725541715805,2.1708980098681403,51.02246165285188,0.04222222222222223,0.8687609425094768,98.16445568710074,323.64855431160015,2.6281854396787874,92.02359953386159,0.20941916670365315,0.0,1.0,1.0,0.7998522221050907,0.5759695648665559,0.0,0.7551495796048383
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,berkeley,44236800,diagonal,1000.0,2.0,1.0,1.0,0.03952972049708478,0.008363186638542845,0.5004461289827612,0.461,0.3454794608236875,0.5280278320610523,0.2050965130329132,0.9904387703165412,-0.07056787610054016,0.06919244841305845,1.559305103975762,26.928724795872803,0.017416666666666664,0.5754634709745795,18.595373124149233,58.77914138348635,3.0527928178236388,136.04210654279527,0.0,166.96920210030464,0.9501666666666666,0.7729688686408501,0.21636577075505392,1.0,0.9392947065649395,0.6680267493393501
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,biomechanics,87040000,diagonal,1000.0,2.0,0.0,0.0,2.648517704976257,1.2027237975078207,0.21406003179802782,0.196,0.313902986043926,1.4726957156658174,1.426826000213623,0.9547973338961602,0.8912178874015808,0.2837522434634062,2.226527438831402,49.44398945808676,0.06461111111111112,0.8995929024529651,98.04493465579222,318.59323226135353,2.483004423236503,89.34847911705755,0.23125302003946926,0.0,0.9028333333333333,0.5573272589217917,0.7696989279684302,0.7478492227832233,0.06153676309340739,0.6095641028252311
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,diagonal,1000.0,2.0,10.0,10.0,-1.1780537204383872,3.166070867870958,0.5579965716260623,0.988,0.5137307608855992,1.4110073984265328,0.8590162396430969,0.9232664420008659,0.7574043869972229,0.36382713350768653,2.1886516646171934,27.815200920627408,0.014944444444444442,0.7947667597460256,89.96345779811631,269.4412009544902,3.4020478832896854,74.91978390339263,0.5347941991539588,0.0,0.9566666666666667,0.8025816249050873,0.10517123847891563,0.5247791196604933,0.9047354210368829,0.5480133875414966
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,diagonal,1000.0,2.0,10.0,10.0,-0.35698704282986,3.404367439867095,0.5292874234979978,0.996,0.4954404711781947,1.4161378322839737,0.8567714095115662,0.931017130613327,0.8049299120903015,0.34389818124526494,2.194098924845123,25.371580530470805,0.02333333333333333,0.8001729853550136,89.44939534927387,236.68595846937265,3.1133472715080934,67.96455105430557,0.4821916096801997,0.0,0.9306666666666666,0.6841305998481396,0.16064084308182802,0.5796125482166927,1.0,0.5377670025071428
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,biomechanics,60702720,diagonal,1000.0,2.0,0.0,0.0,0.23504635305982083,1.2859416355707984,0.09486416519076456,0.007,0.32178652076646425,1.435005725979805,1.355665683746338,0.9237924951910973,0.8085613250732422,0.36854111181572013,2.038930836083046,48.560381953055725,0.006833333333333333,0.7922278139437089,91.883613815027,307.1972303982877,1.478980006614811,96.07153100161183,0.7801088275000195,0.0,0.846,0.2984054669703872,1.0,0.5285007631770366,0.09598421543686964,0.5346607609672492
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,diagonal,1000.0,2.0,1.0,1.0,-0.5106804386717267,1.9669539300622965,0.39118982454096873,0.113,0.3470000438960305,1.4123961866497994,0.9047371745109558,0.895598925948143,0.4789312779903412,0.42063222635982994,2.1585572644154807,49.60796752140201,0.018055555555555557,0.8347237697887071,97.38175620483148,339.34331190602745,1.671348008304331,98.59268085141308,0.8662191529197095,0.0,0.7805,0.0,0.4274623863957435,0.32904105809453493,0.05514407574154201,0.19956133511178423
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,biomechanics,2949120,diagonal,1000.0,2.0,2.0,2.0,-1.1650997464898973,2.1574056887322666,0.42958741471797657,0.156,0.421720462056921,1.3886028201580047,0.879921019077301,0.84908907148242,0.3172970116138458,0.4986535785331606,2.088763411595892,47.573020948241066,0.010555555555555554,0.875696841613992,102.26603217479743,363.54976175370905,1.7431528400043312,93.89464522197703,0.9450560279414085,0.0,0.8113333333333334,0.14047076689445728,0.35327352034780857,0.0,0.13447649958508,0.1756180128206335
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,diagonal,1000.0,2.0,2.0,2.0,-1.0377410848970177,2.0940282281508145,0.6124295658022034,0.169,0.42398366084261724,1.4014478750824928,0.8962551951408386,0.8987860471606255,0.6132940649986267,0.4164131656049086,1.9988425292435679,40.96076781531089,0.003944444444444444,0.8470773361128622,99.78165451495582,309.253817411341,1.6106523516835956,80.58708110256242,0.820885264531655,0.0,0.7971666666666667,0.07593014426727433,0.0,0.3515888331430169,0.3922552909405478,0.1399153534295679
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,biomechanics,127795200,forward,1000.0,2.0,0.0,0.0,2.832713791676331,0.8355410010630558,0.16112717890103775,0.09,0.37374614351596797,1.4597749935388564,1.3962677717208862,0.9326472689509392,0.8131282329559326,0.3509848881040447,2.1241036874562287,49.46965537562067,0.043,0.8647828995216315,98.21939259885441,294.33469121136085,2.4674156593785783,85.89396758758984,0.177146634717407,0.0,1.0,1.0,0.7127260972101133,0.0,0.44073527641958454,0.6578913568049924
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,berkeley,44236800,forward,1000.0,2.0,1.0,1.0,0.03992088683973998,0.00860908111010033,0.4261533457801242,0.474,0.38606030459191937,0.5264204584360123,0.030603677034378052,0.9908604557327926,-0.0033785663545131683,0.0695935254307268,1.5838115842750322,27.29415601335348,0.019,0.5742041520294251,18.914406469958973,64.3950597886039,3.0110102004647774,134.75977989291022,0.0,168.6509326124329,0.9501666666666666,0.7729688686408501,0.0,0.913998065641243,1.0,0.5919871605845887
P06_auto_xml_standard_sine,biomechanics_noerfi_nodr_ref_sine_trajectory_sine_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2321_60m_seed7_rew_714p9127_best_714p9127_s,biomechanics,60702720,forward,1000.0,2.0,0.0,0.0,0.37811307993315857,1.3059588918484577,0.07937603277228326,0.01,0.3303249710849353,1.469642332792282,1.4424406290054321,0.9794362642168999,0.9520288705825806,0.19214024355016612,1.6818499910279483,59.11381668938448,0.0025555555555555557,0.5912015484517726,69.39357275837568,249.5887495990916,1.3133225760561213,91.99811147723638,0.7439470340734917,0.0,0.846,0.2984054669703872,0.9325767482191655,0.7346282437112062,0.19751012404783574,0.5658118724009294
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,forward,1000.0,2.0,0.0,0.0,2.3913213022109123,1.1946388002754156,0.24930740580283559,0.356,0.3656726100261402,1.4711986691951753,1.4200170040130615,0.9353067551255226,0.8715975284576416,0.3483194156870832,2.248860820091134,31.970191008332563,0.01933333333333333,0.7789420772297089,87.2963327811356,198.5730229827615,2.4451290135724104,66.36461745928719,0.2607038662291506,0.0,0.9566666666666667,0.8025816249050873,0.47558593210523115,0.04175626440582763,0.8820706863824167,0.5602667511130115
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,biomechanics,2949120,forward,1000.0,2.0,0.0,0.0,-0.0018461294919252396,1.6705446460873066,0.05674330033516437,0.01,0.33967128403292485,1.477008964419365,1.4636948108673096,0.9951586389541626,0.9872331619262695,0.09640048794176244,1.7391046293172439,65.16306228575586,0.0003333333333333333,0.5654835212331705,66.95194524360416,246.11279729885507,1.582212992759277,112.06174857224148,0.777922983601032,0.0,0.8113333333333334,0.14047076689445728,0.9934422063324693,0.9814833102615984,0.04494852392074855,0.5550124831019182
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,biomechanics,46694400,forward,1000.0,2.0,0.0,0.0,-0.013079274145129603,1.6116318704194112,0.0543047942587168,0.01,0.3338408679579515,1.480933040380478,1.464031457901001,0.9963379800915718,0.9884909987449646,0.07689866496312439,1.7478191166429073,66.9453237471228,0.0003333333333333333,0.5584834948933639,65.67703158146318,253.5126382872344,1.5591898685060255,106.64526310041234,0.7786350035820667,0.0,0.7971666666666667,0.07593014426727433,1.0,1.0,0.0,0.5303720577069098
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,biomechanics,51363840,forward,1000.0,2.0,0.0,0.0,0.14267881276411937,1.6619830819581263,0.06812688746210441,0.011,0.3528813546397509,1.4746714888811112,1.4548826217651367,0.9920446312427521,0.9838165640830994,0.12291787414110981,1.8180604897062922,51.61406683713646,0.003666666666666667,0.5702224308573427,66.59481039349869,222.12323651442682,1.3898928930861603,93.98581580648376,0.7481542490514383,0.0,0.7805,0.0,0.9628287023121781,0.9325906592667844,0.38665335187415717,0.514032077734426
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,forward,1000.0,2.0,0.0,0.0,2.4813091215454044,1.1037798964770718,0.2733607052852286,0.461,0.367003846510802,1.4741257795095444,1.4253052473068237,0.9412004023790359,0.8660571575164795,0.3335255743712718,2.239106028159791,32.51714942625138,0.021166666666666667,0.7965810998636199,88.50329910458066,205.77652377289826,2.3948848020400573,64.65519431522779,0.24806477111892986,0.0,0.9306666666666666,0.6841305998481396,0.4109001900632637,0.13429169301016158,0.8682764288818237,0.5106082784484497
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,biomechanics,87040000,forward,1000.0,2.0,0.0,0.0,2.6600586582534014,1.2131388880083458,0.24733896786477963,0.307,0.368084506105204,1.4742745122909546,1.4169760942459106,0.9560277199745179,0.8927984237670898,0.2828383624284377,2.261451155217002,53.87217149028853,0.05505555555555556,0.8875115166965551,98.1785585379209,319.70860438397983,2.6022344085454896,84.30321098237712,0.23813236060906565,0.0,0.9028333333333333,0.5573272589217917,0.48087958708923506,0.3670935777738975,0.3297040920613389,0.4735839044564006
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,biomechanics,127795200,forward_slow,1000.0,2.0,0.0,0.0,2.7906011407747866,0.8928094600866734,0.13279888017039987,0.039,0.23372767451093665,1.4587885265350342,1.3868873119354248,0.9251950210332871,0.795731246471405,0.369088495105522,2.1167899200935114,49.5312934437988,0.041555555555555554,0.8308423591764148,94.7417477362373,279.55007006409903,2.431359193304659,86.02357642528573,0.17241786894983824,0.0,1.0,1.0,0.8507433690527115,0.0,0.034107569767296564,0.6586337676925431
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,berkeley,44236800,forward_slow,1000.0,2.0,1.0,1.0,0.04039334611303639,0.009824556897970384,0.549295572994399,0.424,0.2780336325916218,0.5279777054190635,0.14726048707962036,0.9908522619083524,-0.07148031145334244,0.06864083659583986,1.495634048157322,28.076990913423987,0.013083333333333332,0.5476193740469618,17.918179217414078,54.595567032970976,3.070882784831555,142.74937845953124,0.0,167.76667426392774,0.9501666666666666,0.7729688686408501,0.159191626207,1.0,1.0,0.6569450353184401
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,forward_slow,1000.0,2.0,0.0,0.0,2.081379484511912,1.4920063283163316,0.1995348803859427,0.208,0.2577955301632555,1.4689079515933992,1.4022620916366577,0.9315620391964913,0.8340766429901123,0.353211221704025,2.186427129291839,32.556125448437086,0.01572222222222222,0.7361195001164365,83.20802233233975,187.67816101564762,2.3889895870896094,64.27478105496277,0.26845381849155375,0.0,0.9566666666666667,0.8025816249050873,0.7399348126949475,0.09697358704608895,0.7983452440256305,0.6422423355823002
